time,high,low,open,volumefrom,volumeto,close
1744981200,84624.27,84470.86,84624.05,358.77,30326676.4,84557.18
1744977600,84748.27,84554.26,84650.79,243.86,20641851.7,84624.05
1744974000,84652.68,84461.27,84515.6,155.47,13144404.47,84650.79
1744970400,84637.21,84475.48,84534.85,91.57,7741890.32,84515.6
1744966800,84637.18,84515.06,84628.49,145.27,12283559.17,84534.85
1744963200,84750.92,84601.21,84642.48,127.28,10777947.2,84628.49
1744959600,84725.8,84411.2,84714.58,255.08,21569589.44,84642.48
1744956000,84769.46,84591.51,84735.82,94.79,8023844.46,84714.58
1744952400,84743.95,84530.32,84672.06,176.6,14939537.55,84735.82
1744948800,84842.86,84601.73,84836.41,220.42,18666178.99,84672.06
1744945200,84906.15,84743.6,84898.46,218.21,18504008.9,84836.41
1744941600,84980.41,84813.56,84930.09,238.02,20205433.83,84898.46
1744938000,85132.75,84814.0,84814.12,351.11,29840623.88,84930.09
1744934400,85017.89,84732.38,84943.42,355.21,30145023.36,84814.12
1744930800,85015.68,84735.4,84738.49,279.45,23725055.7,84943.42
1744927200,85089.43,84732.22,85071.18,294.2,24987392.88,84738.49
1744923600,85143.83,84901.88,85140.98,288.27,24502393.89,85071.18
1744920000,85148.53,84857.17,84857.41,594.7,50554363.09,85140.98
1744916400,85117.88,84514.5,84913.06,1596.03,135372650.48,84857.41
1744912800,85472.23,84906.03,85108.5,1384.57,118083686.4,84913.06
1744909200,85208.39,84784.72,84936.72,836.07,71106529.03,85108.5
1744905600,85077.84,84399.82,84529.19,1533.88,130045312.47,84936.72
1744902000,84687.29,84075.17,84075.69,1241.46,104877085.99,84529.19
1744898400,84461.06,83725.98,84461.05,1858.14,156199982.12,84075.69
1744894800,84763.46,84309.72,84763.31,1123.01,94936782.84,84461.05
1744891200,84856.83,84560.55,84563.85,589.8,49990248.09,84763.31
1744887600,84743.28,84279.25,84364.19,274.37,23186348.95,84563.85
1744884000,84493.81,84179.81,84463.06,196.8,16593407.41,84364.19
1744880400,84515.22,84341.47,84451.29,241.34,20375729.31,84463.06
1744876800,84766.13,84406.58,84668.88,234.24,19818595.39,84451.29
1744873200,85026.01,84600.2,84785.38,343.9,29153611.02,84668.88
1744869600,84856.05,84315.19,84390.12,339.3,28694767.88,84785.38
1744866000,84484.66,84094.62,84155.02,280.36,23644635.07,84390.12
1744862400,84180.19,83907.0,83999.77,201.43,16922667.83,84155.02
1744858800,84291.02,83817.63,84267.67,347.16,29161048.56,83999.77
1744855200,84332.23,84033.67,84332.22,301.92,25405529.03,84267.67
1744851600,84484.4,84116.56,84209.64,378.74,31924060.65,84332.22
1744848000,84212.37,83933.09,84029.4,470.46,39541086.68,84209.64
